Epoch;ErrorScore;w1;w2;w3;w4;b1;b2;b3;b4
415;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
416;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
417;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
418;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
419;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
420;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
421;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
422;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
423;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
424;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
425;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
426;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
427;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
428;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
429;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
430;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
431;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
432;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
433;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
434;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
435;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
436;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
437;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
438;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
439;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
440;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
441;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
442;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
443;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
444;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
445;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
446;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
447;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
448;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
449;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
450;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
451;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
452;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
453;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
454;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
455;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
456;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
457;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
458;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
459;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
460;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
461;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
462;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
463;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
464;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
465;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
466;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
467;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
468;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
469;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
470;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
471;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
472;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
473;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
474;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
475;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
476;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
477;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
478;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
479;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
480;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
481;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
482;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
483;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
484;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
485;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
486;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
487;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
488;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
489;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
490;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
491;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
492;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
493;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
494;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
495;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
496;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
497;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
498;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
499;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
500;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
501;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
502;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
503;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
504;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
505;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
506;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
507;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
508;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
509;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
510;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
511;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
512;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
513;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
514;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
515;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
516;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
517;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
518;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
519;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
520;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
521;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
522;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
523;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
524;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
525;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
526;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
527;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
528;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
529;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
530;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
531;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
532;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
533;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
534;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
535;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
536;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
537;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
538;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
539;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
540;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
541;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
542;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
543;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
544;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
545;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
546;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
547;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
548;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
549;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
550;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
551;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
552;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
553;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
554;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
555;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
556;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
557;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
558;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
559;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
560;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
561;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
562;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
563;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
564;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
565;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
566;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
567;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
568;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
569;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
570;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
571;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
572;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
573;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
574;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
575;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
576;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
577;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
578;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
579;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
580;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
581;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
582;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
583;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
584;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
585;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
586;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
587;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
588;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
589;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
590;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
591;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
592;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
593;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
594;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
595;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
596;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
597;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
598;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
599;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
600;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
601;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
602;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
603;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
604;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
605;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
606;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
607;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
608;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
609;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
610;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
611;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
612;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
613;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
614;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
615;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
616;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
617;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
618;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
619;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
620;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
621;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
622;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
623;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
624;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
625;-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind);-nan(ind)
